Indice,File,Diff_media
328,06000_04000_label_free.tif,21.1945
329,06000_04500_label_free.tif,20.7567
330,06000_05000_label_free.tif,28.0877
331,06000_05500_label_free.tif,34.7305
332,06000_06000_label_free.tif,36.8864
333,06000_06500_label_free.tif,38.3173
334,06000_07000_label_free.tif,45.5896
335,06000_07500_label_free.tif,50.1881
336,06000_08000_label_free.tif,48.1748
337,06000_08500_label_free.tif,39.3848
338,06000_09000_label_free.tif,37.1705
339,06000_09500_label_free.tif,37.0935
340,06000_10000_label_free.tif,36.3347
341,06000_10500_label_free.tif,35.1146
342,06000_11000_label_free.tif,30.8206
343,06000_11500_label_free.tif,30.891
344,06000_12000_label_free.tif,38.3924
345,06000_12500_label_free.tif,45.0051
346,06000_13000_label_free.tif,45.2624
347,06000_13500_label_free.tif,49.4999
348,06000_14000_label_free.tif,59.4248
349,06000_14500_label_free.tif,53.6385
350,06000_15000_label_free.tif,38.6446
351,06000_15500_label_free.tif,26.7121
352,06000_16000_label_free.tif,26.6154
353,06000_16500_label_free.tif,30.1285
354,06000_17000_label_free.tif,32.8778
355,06000_17500_label_free.tif,33.9294
356,06000_18000_label_free.tif,36.8794
357,06000_18500_label_free.tif,38.9884
358,06000_19000_label_free.tif,34.3271
359,06000_19500_label_free.tif,32.5125
360,06000_20000_label_free.tif,33.3975
361,06500_02000_label_free.tif,25.3333
362,06500_02500_label_free.tif,30.7761
363,06500_03000_label_free.tif,32.6935
364,06500_03500_label_free.tif,28.9009
365,06500_04000_label_free.tif,24.1772
366,06500_04500_label_free.tif,25.7614
367,06500_05000_label_free.tif,30.3437
368,06500_05500_label_free.tif,35.516
369,06500_06000_label_free.tif,37.9901
370,06500_06500_label_free.tif,38.0306
371,06500_07000_label_free.tif,43.2769
372,06500_07500_label_free.tif,47.1993
373,06500_08000_label_free.tif,45.5598
374,06500_08500_label_free.tif,38.177
375,06500_09000_label_free.tif,35.7346
376,06500_09500_label_free.tif,36.1851
377,06500_10000_label_free.tif,35.9287
378,06500_10500_label_free.tif,35.7411
379,06500_11000_label_free.tif,30.6692
380,06500_11500_label_free.tif,29.8534
381,06500_12000_label_free.tif,33.6329
382,06500_12500_label_free.tif,39.4412
383,06500_13000_label_free.tif,40.2383
384,06500_13500_label_free.tif,42.9699
385,06500_14000_label_free.tif,57.1224
386,06500_14500_label_free.tif,55.9666
387,06500_15000_label_free.tif,44.224
388,06500_15500_label_free.tif,28.5856
389,06500_16000_label_free.tif,27.8446
390,06500_16500_label_free.tif,31.7417
391,06500_17000_label_free.tif,33.9209
392,06500_17500_label_free.tif,33.7326
393,06500_18000_label_free.tif,40.5739
394,06500_18500_label_free.tif,44.9389
395,06500_19000_label_free.tif,40.7112
396,06500_19500_label_free.tif,35.7002
