Indice,File,Diff_media
313,05500_16500_label_free.tif,19.8209
314,05500_17000_label_free.tif,22.4378
315,05500_17500_label_free.tif,22.5047
316,05500_18000_label_free.tif,23.1321
317,05500_18500_label_free.tif,24.5366
318,05500_19000_label_free.tif,23.9151
319,05500_19500_label_free.tif,24.3848
320,05500_20000_label_free.tif,22.1258
321,06000_02500_label_free.tif,26.6814
322,06000_03000_label_free.tif,29.3946
323,06000_03500_label_free.tif,24.5539
324,06000_04000_label_free.tif,16.561
325,06000_04500_label_free.tif,13.7002
326,06000_05000_label_free.tif,20.46
327,06000_05500_label_free.tif,27.0103
328,06000_06000_label_free.tif,32.1372
329,06000_06500_label_free.tif,30.9575
330,06000_07000_label_free.tif,32.2438
331,06000_07500_label_free.tif,43.952
332,06000_08000_label_free.tif,39.4683
333,06000_08500_label_free.tif,30.8397
334,06000_09000_label_free.tif,34.4347
335,06000_09500_label_free.tif,34.3255
336,06000_10000_label_free.tif,33.2899
337,06000_11000_label_free.tif,27.8946
338,06000_11500_label_free.tif,19.1951
339,06000_12000_label_free.tif,27.7995
340,06000_12500_label_free.tif,38.5966
341,06000_13000_label_free.tif,38.0501
342,06000_13500_label_free.tif,41.8552
343,06000_14000_label_free.tif,49.8681
344,06000_14500_label_free.tif,41.5179
345,06000_15000_label_free.tif,23.3052
346,06000_15500_label_free.tif,18.6934
347,06000_16000_label_free.tif,19.6687
348,06000_16500_label_free.tif,22.094
349,06000_17000_label_free.tif,24.2912
350,06000_17500_label_free.tif,24.2147
351,06000_18000_label_free.tif,30.6381
352,06000_18500_label_free.tif,32.8663
353,06000_19000_label_free.tif,25.8278
354,06000_19500_label_free.tif,24.0531
355,06000_20000_label_free.tif,29.9593
356,06500_02000_label_free.tif,14.0478
357,06500_02500_label_free.tif,23.5557
358,06500_03000_label_free.tif,27.9223
359,06500_03500_label_free.tif,18.7079
360,06500_04000_label_free.tif,15.3287
361,06500_04500_label_free.tif,14.953
362,06500_05000_label_free.tif,17.9396
363,06500_05500_label_free.tif,25.2418
364,06500_06000_label_free.tif,31.0512
365,06500_06500_label_free.tif,30.7899
366,06500_07000_label_free.tif,32.512
367,06500_07500_label_free.tif,41.2916
368,06500_08000_label_free.tif,39.2833
369,06500_08500_label_free.tif,31.7341
370,06500_09000_label_free.tif,32.232
371,06500_09500_label_free.tif,32.833
372,06500_10000_label_free.tif,32.6645
373,06500_10500_label_free.tif,34.8348
374,06500_11000_label_free.tif,26.3526
375,06500_11500_label_free.tif,18.6761
376,06500_12000_label_free.tif,26.0005
377,06500_12500_label_free.tif,34.0973
378,06500_13000_label_free.tif,33.3721
379,06500_13500_label_free.tif,36.0269
380,06500_14000_label_free.tif,47.213
381,06500_14500_label_free.tif,46.0479
382,06500_15000_label_free.tif,27.6908
383,06500_15500_label_free.tif,20.1008
384,06500_16000_label_free.tif,21.3908
385,06500_16500_label_free.tif,22.5112
386,06500_17000_label_free.tif,24.8714
387,06500_17500_label_free.tif,25.2663
388,06500_18000_label_free.tif,31.016
389,06500_18500_label_free.tif,35.7227
390,06500_19000_label_free.tif,30.2361
391,06500_19500_label_free.tif,25.7528
392,06500_20000_label_free.tif,32.5345
393,07000_00500_label_free.tif,19.9407
394,07000_01000_label_free.tif,24.1231
395,07000_01500_label_free.tif,26.0825
396,07000_02000_label_free.tif,28.1208
397,07000_02500_label_free.tif,29.71
398,07000_03000_label_free.tif,26.9085
399,07000_03500_label_free.tif,19.9136
400,07000_04000_label_free.tif,19.1322
401,07000_04500_label_free.tif,22.3967
402,07000_05000_label_free.tif,27.4489
403,07000_05500_label_free.tif,32.7086
